805,11010120150601007X,1,╡Бйт╤Ывс,0,rdoHMale2,E1711101459151048
805,11010120150601007X,1,╡Бйт╤Ывс,0,rdoHMale2,E1711101501271074
805,11010120150601007X,1,╡Бйт╤Ывс,0,rdoHMale2,E1711101503201088
805,11010120150601007X,1,╡Бйт╤Ывс,0,rdoHMale2,E1711101504381104
805,11010120150601007X,1,╡Бйт╤Ывс,0,rdoHMale2,E1711101509001140
805,11010120150601007X,1,╡Бйт╤Ывс,0,E1711101510511154
805,11010119600601015X,2,╡Бйт╦╦гв,1,E1711101511031156
805,11010120150601007X,1,╡Бйт╤Ывс,0,E1711101525221265
805,110101196009010681,2,╡Бйт╦╦гв,1,E1711101525341269
805,11010120150601007X,1,╡Бйт╤Ывс,0,E1711101529121294
805,110101196009010681,2,╡Бйт╦╦гв,1,E1711101529241296
805,110101198009010760,5,╡БйтеДе╪,0,E1711101529351297
806,110101201509010067,1,╡Бйт╤Ывс,0,E1711101529471300
806,110101196009010649,2,╡Бйт╦╦гв,1,E1711101529581302
806,110101198009010728,5,╡БйтеДе╪,0,E1711101530101304
807,110101201509010083,1,╡Бйт╤Ывс,0,E1711101530221307
807,110101196009010569,2,╡Бйт╦╦гв,1,E1711101530341309
807,110101198009010664,5,╡БйтеДе╪,0,E1711101530471312
808,110101201509010147,1,╡Бйт╤Ывс,0,E1711101530591314
808,11010119600901050X,2,╡Бйт╦╦гв,1,E1711101531111317
808,110101198009010568,5,╡БйтеДе╪,0,E1711101531231318
